*  FILE IDENTIFICATION:
*  name       : D:\UserData\Wesseling\NHI2015\Output\staro7.csv
*  version    : 1.0
*  date       : 29-May-2015 09:06:20
*  created by : J.G.Wesseling
*  module     : staro7
*  head   = soil pressure head (cm)
*  theta  = volume fraction of soil moisture (-)
*  conduc = soil hydraulic conductivity (cm/d)
* ------------------------------------------------------------------------
headtab,thetatab,conductab
-1.0000000000E+07, 6.7690010292E-02, 1.0000000000E-12
-7.9432823472E+06, 7.2497121407E-02, 3.6051331916E-12
-6.3095734448E+06, 7.7312786359E-02, 1.2789603068E-11
-5.0118723363E+06, 8.2145558984E-02, 4.3936119097E-11
-3.9810717055E+06, 8.7003993119E-02, 1.4382342664E-10
-3.1622776602E+06, 9.1896642602E-02, 4.4146402686E-10
-2.5118864315E+06, 9.6832061268E-02, 1.2503546003E-09
-1.9952623150E+06, 1.0181880295E-01, 3.2155679901E-09
-1.5848931925E+06, 1.0686542150E-01, 7.3889590425E-09
-1.2589254118E+06, 1.1198047074E-01, 1.4942858039E-08
-1.0000000000E+06, 1.1717250450E-01, 2.6669766305E-08
-7.9432823472E+05, 1.2245007664E-01, 4.2808184881E-08
-6.3095734448E+05, 1.2782174098E-01, 6.3007200811E-08
-5.0118723363E+05, 1.3329605136E-01, 8.6704778266E-08
-3.9810717055E+05, 1.3888156162E-01, 1.1374152762E-07
-3.1622776602E+05, 1.4458682559E-01, 1.4502803594E-07
-2.5118864315E+05, 1.5042039711E-01, 1.8326328332E-07
-1.9952623150E+05, 1.5639083002E-01, 2.3400398558E-07
-1.5848931925E+05, 1.6250667816E-01, 3.0742532120E-07
-1.2589254118E+05, 1.6877649536E-01, 4.1750302754E-07
-1.0000000000E+05, 1.7520883545E-01, 5.8440310345E-07
-7.9432823472E+04, 1.8181225228E-01, 8.4059986748E-07
-6.3095734448E+04, 1.8859529968E-01, 1.2387425867E-06
-5.0118723363E+04, 1.9556653149E-01, 1.8645704438E-06
-3.9810717055E+04, 2.0273450154E-01, 2.8580743838E-06
-3.1622776602E+04, 2.1010776368E-01, 4.4479130836E-06
-2.5118864315E+04, 2.1769487173E-01, 7.0067741344E-06
-1.9952623150E+04, 2.2550437954E-01, 1.1139098230E-05
-1.5848931925E+04, 2.3354484094E-01, 1.7817348212E-05
-1.5488166189E+04, 2.3436191885E-01, 1.8678342606E-05
-1.5135612484E+04, 2.3518140039E-01, 1.9581493785E-05
-1.4791083882E+04, 2.3600329411E-01, 2.0528830298E-05
-1.4454397707E+04, 2.3682760857E-01, 2.1522473645E-05
-1.4125375446E+04, 2.3765435231E-01, 2.2564642140E-05
-1.3803842646E+04, 2.3848353390E-01, 2.3657654911E-05
-1.3489628826E+04, 2.3931516189E-01, 2.4803936018E-05
-1.3182567386E+04, 2.4014924483E-01, 2.6006018727E-05
-1.2882495517E+04, 2.4098579127E-01, 2.7266549903E-05
-1.2589254118E+04, 2.4182480977E-01, 2.8588294555E-05
-1.2302687708E+04, 2.4266630888E-01, 2.9974140593E-05
-1.2022644346E+04, 2.4351029717E-01, 3.1427124668E-05
-1.1748975549E+04, 2.4435678317E-01, 3.2950471007E-05
-1.1481536215E+04, 2.4520577544E-01, 3.4547563497E-05
-1.1220184543E+04, 2.4605728254E-01, 3.6221946642E-05
-1.0964781961E+04, 2.4691131303E-01, 3.7977333040E-05
-1.0715193052E+04, 2.4776787545E-01, 3.9817611187E-05
-1.0471285481E+04, 2.4862697836E-01, 4.1746853644E-05
-1.0232929923E+04, 2.4948863031E-01, 4.3769325565E-05
-1.0000000000E+04, 2.5035283986E-01, 4.5889493610E-05
-9.7723722096E+03, 2.5121961557E-01, 4.8112035256E-05
-9.5499258602E+03, 2.5208896597E-01, 5.0441848533E-05
-9.3325430080E+03, 2.5296089964E-01, 5.2884062185E-05
-9.1201083936E+03, 2.5383542512E-01, 5.5444046290E-05
-8.9125093813E+03, 2.5471255096E-01, 5.8127423357E-05
-8.7096358996E+03, 2.5559228572E-01, 6.0940079905E-05
-8.5113803820E+03, 2.5647463796E-01, 6.3888178570E-05
-8.3176377110E+03, 2.5735961623E-01, 6.6978170737E-05
-8.1283051616E+03, 2.5824722908E-01, 7.0216809736E-05
-7.9432823472E+03, 2.5913748506E-01, 7.3611164622E-05
-7.7624711663E+03, 2.6003039273E-01, 7.7168634553E-05
-7.5857757503E+03, 2.6092596065E-01, 8.0896963811E-05
-7.4131024130E+03, 2.6182419736E-01, 8.4804257477E-05
-7.2443596008E+03, 2.6272511143E-01, 8.8898997786E-05
-7.0794578438E+03, 2.6362871140E-01, 9.3190061207E-05
-6.9183097092E+03, 2.6453500582E-01, 9.7686736261E-05
-6.7608297539E+03, 2.6544400326E-01, 1.0239874211E-04
-6.6069344801E+03, 2.6635571227E-01, 1.0733624797E-04
-6.4565422903E+03, 2.6727014140E-01, 1.1250989334E-04
-6.3095734448E+03, 2.6818729920E-01, 1.1793080910E-04
-6.1659500186E+03, 2.6910719422E-01, 1.2361063958E-04
-6.0255958607E+03, 2.7002983503E-01, 1.2956156550E-04
-5.8884365536E+03, 2.7095523018E-01, 1.3579632792E-04
-5.7543993734E+03, 2.7188338821E-01, 1.4232825324E-04
-5.6234132519E+03, 2.7281431769E-01, 1.4917127923E-04
-5.4954087386E+03, 2.7374802716E-01, 1.5633998221E-04
-5.3703179637E+03, 2.7468452519E-01, 1.6384960534E-04
-5.2480746025E+03, 2.7562382032E-01, 1.7171608813E-04
-5.1286138399E+03, 2.7656592111E-01, 1.7995609721E-04
-5.0118723363E+03, 2.7751083611E-01, 1.8858705838E-04
-4.8977881937E+03, 2.7845857387E-01, 1.9762718999E-04
-4.7863009232E+03, 2.7940914296E-01, 2.0709553776E-04
-4.6773514129E+03, 2.8036255192E-01, 2.1701201104E-04
-4.5708818961E+03, 2.8131880931E-01, 2.2739742056E-04
-4.4668359215E+03, 2.8227792368E-01, 2.3827351781E-04
-4.3651583224E+03, 2.8323990358E-01, 2.4966303594E-04
-4.2657951880E+03, 2.8420475758E-01, 2.6158973249E-04
-4.1686938347E+03, 2.8517249421E-01, 2.7407843381E-04
-4.0738027780E+03, 2.8614312205E-01, 2.8715508125E-04
-3.9810717055E+03, 2.8711664963E-01, 3.0084677941E-04
-3.8904514499E+03, 2.8809308552E-01, 3.1518184615E-04
-3.8018939632E+03, 2.8907243827E-01, 3.3018986485E-04
-3.7153522910E+03, 2.9005471643E-01, 3.4590173861E-04
-3.6307805477E+03, 2.9103992855E-01, 3.6234974677E-04
-3.5481338923E+03, 2.9202808320E-01, 3.7956760368E-04
-3.4673685045E+03, 2.9301918891E-01, 3.9759051979E-04
-3.3884415614E+03, 2.9401325426E-01, 4.1645526526E-04
-3.3113112148E+03, 2.9501028779E-01, 4.3620023606E-04
-3.2359365693E+03, 2.9601029805E-01, 4.5686552276E-04
-3.1622776602E+03, 2.9701329360E-01, 4.7849298198E-04
-3.0902954325E+03, 2.9801928300E-01, 5.0112631076E-04
-3.0199517204E+03, 2.9902827479E-01, 5.2481112377E-04
-2.9512092267E+03, 3.0004027753E-01, 5.4959503364E-04
-2.8840315031E+03, 3.0105529978E-01, 5.7552773440E-04
-2.8183829313E+03, 3.0207335008E-01, 6.0266108814E-04
-2.7542287033E+03, 3.0309443700E-01, 6.3104921516E-04
-2.6915348039E+03, 3.0411856908E-01, 6.6074858748E-04
-2.6302679919E+03, 3.0514575488E-01, 6.9181812604E-04
-2.5703957828E+03, 3.0617600296E-01, 7.2431930163E-04
-2.5118864315E+03, 3.0720932186E-01, 7.5831623968E-04
-2.4547089157E+03, 3.0824572014E-01, 7.9387582908E-04
-2.3988329190E+03, 3.0928520636E-01, 8.3106783506E-04
-2.3442288153E+03, 3.1032778907E-01, 8.6996501647E-04
-2.2908676528E+03, 3.1137347682E-01, 9.1064324737E-04
-2.2387211386E+03, 3.1242227817E-01, 9.5318164328E-04
-2.1877616239E+03, 3.1347420167E-01, 9.9766269210E-04
-2.1379620895E+03, 3.1452925587E-01, 1.0441723899E-03
-2.0892961309E+03, 3.1558744933E-01, 1.0928003819E-03
-2.0417379447E+03, 3.1664879060E-01, 1.1436401082E-03
-1.9952623150E+03, 3.1771328824E-01, 1.1967889559E-03
-1.9498445998E+03, 3.1878095080E-01, 1.2523484152E-03
-1.9054607180E+03, 3.1985178683E-01, 1.3104242429E-03
-1.8620871367E+03, 3.2092580489E-01, 1.3711266304E-03
-1.8197008586E+03, 3.2200301353E-01, 1.4345703791E-03
-1.7782794100E+03, 3.2308342130E-01, 1.5008750805E-03
-1.7378008287E+03, 3.2416703676E-01, 1.5701653047E-03
-1.6982436525E+03, 3.2525386847E-01, 1.6425707937E-03
-1.6595869074E+03, 3.2634392497E-01, 1.7182266629E-03
-1.6218100974E+03, 3.2743721482E-01, 1.7972736090E-03
-1.5848931925E+03, 3.2853374658E-01, 1.8798581258E-03
-1.5488166189E+03, 3.2963352879E-01, 1.9661327265E-03
-1.5135612484E+03, 3.3073657002E-01, 2.0562561751E-03
-1.4791083882E+03, 3.3184287881E-01, 2.1503937245E-03
-1.4454397707E+03, 3.3295246372E-01, 2.2487173639E-03
-1.4125375446E+03, 3.3406533331E-01, 2.3514060734E-03
-1.3803842646E+03, 3.3518149612E-01, 2.4586460887E-03
-1.3489628826E+03, 3.3630096071E-01, 2.5706311734E-03
-1.3182567386E+03, 3.3742373564E-01, 2.6875629013E-03
-1.2882495517E+03, 3.3854982946E-01, 2.8096509480E-03
-1.2589254118E+03, 3.3967925072E-01, 2.9371133916E-03
-1.2302687708E+03, 3.4081200797E-01, 3.0701770244E-03
-1.2022644346E+03, 3.4194810978E-01, 3.2090776733E-03
-1.1748975549E+03, 3.4308756468E-01, 3.3540605325E-03
-1.1481536215E+03, 3.4423038125E-01, 3.5053805052E-03
-1.1220184543E+03, 3.4537656803E-01, 3.6633025573E-03
-1.0964781961E+03, 3.4652613357E-01, 3.8281020824E-03
-1.0715193052E+03, 3.4767908593E-01, 4.0000652778E-03
-1.0471285481E+03, 3.4883538713E-01, 4.1794895328E-03
-1.0232929923E+03, 3.4999491726E-01, 4.3666838290E-03
-1.0000000000E+03, 3.5115754792E-01, 4.5619691532E-03
-9.7723722096E+02, 3.5232315073E-01, 4.7656789227E-03
-9.5499258602E+02, 3.5349159731E-01, 4.9781594238E-03
-9.3325430080E+02, 3.5466275928E-01, 5.1997702637E-03
-9.1201083936E+02, 3.5583650823E-01, 5.4308848358E-03
-8.9125093813E+02, 3.5701271580E-01, 5.6718907992E-03
-8.7096358996E+02, 3.5819125358E-01, 5.9231905720E-03
-8.5113803820E+02, 3.5937199321E-01, 6.1852018395E-03
-8.3176377110E+02, 3.6055480628E-01, 6.4583580772E-03
-8.1283051616E+02, 3.6173956442E-01, 6.7431090884E-03
-7.9432823472E+02, 3.6292613924E-01, 7.0399215576E-03
-7.7624711663E+02, 3.6411440236E-01, 7.3492796201E-03
-7.5857757503E+02, 3.6530422538E-01, 7.6716854463E-03
-7.4131024130E+02, 3.6649547992E-01, 8.0076598436E-03
-7.2443596008E+02, 3.6768803760E-01, 8.3577428742E-03
-7.0794578438E+02, 3.6888177003E-01, 8.7224944901E-03
-6.9183097092E+02, 3.7007654882E-01, 9.1024951845E-03
-6.7608297539E+02, 3.7127224559E-01, 9.4983466621E-03
-6.6069344801E+02, 3.7246873196E-01, 9.9106725254E-03
-6.4565422903E+02, 3.7366587953E-01, 1.0340118980E-02
-6.3095734448E+02, 3.7486355992E-01, 1.0787355560E-02
-6.1659500186E+02, 3.7606164475E-01, 1.1253075865E-02
-6.0255958607E+02, 3.7726000562E-01, 1.1737998325E-02
-5.8884365536E+02, 3.7845851416E-01, 1.2242866981E-02
-5.7543993734E+02, 3.7965704198E-01, 1.2768452278E-02
-5.6234132519E+02, 3.8085546069E-01, 1.3315551889E-02
-5.4954087386E+02, 3.8205364191E-01, 1.3884991550E-02
-5.3703179637E+02, 3.8325145724E-01, 1.4477625918E-02
-5.2480746025E+02, 3.8444877831E-01, 1.5094339451E-02
-5.1286138399E+02, 3.8564547673E-01, 1.5736047301E-02
-5.0118723363E+02, 3.8684142411E-01, 1.6403696238E-02
-4.8977881937E+02, 3.8803649207E-01, 1.7098265584E-02
-4.7863009232E+02, 3.8923055222E-01, 1.7820768175E-02
-4.6773514129E+02, 3.9042347617E-01, 1.8572251342E-02
-4.5708818961E+02, 3.9161513554E-01, 1.9353797907E-02
-4.4668359215E+02, 3.9280540195E-01, 2.0166527210E-02
-4.3651583224E+02, 3.9399414700E-01, 2.1011596146E-02
-4.2657951880E+02, 3.9518124232E-01, 2.1890200234E-02
-4.1686938347E+02, 3.9636655951E-01, 2.2803574697E-02
-4.0738027780E+02, 3.9754997019E-01, 2.3752995569E-02
-3.9810717055E+02, 3.9873134597E-01, 2.4739780817E-02
-3.8904514499E+02, 3.9991055848E-01, 2.5765291493E-02
-3.8018939632E+02, 4.0108747931E-01, 2.6830932897E-02
-3.7153522910E+02, 4.0226198009E-01, 2.7938155763E-02
-3.6307805477E+02, 4.0343393244E-01, 2.9088457471E-02
-3.5481338923E+02, 4.0460320795E-01, 3.0283383268E-02
-3.4673685045E+02, 4.0576967826E-01, 3.1524527521E-02
-3.3884415614E+02, 4.0693321497E-01, 3.2813534977E-02
-3.3113112148E+02, 4.0809368970E-01, 3.4152102053E-02
-3.2359365693E+02, 4.0925097406E-01, 3.5541978138E-02
-3.1622776602E+02, 4.1040493966E-01, 3.6984966911E-02
-3.0902954325E+02, 4.1155545813E-01, 3.8482927688E-02
-3.0199517204E+02, 4.1270240107E-01, 4.0037776772E-02
-2.9512092267E+02, 4.1384564009E-01, 4.1651488829E-02
-2.8840315031E+02, 4.1498504682E-01, 4.3326098276E-02
-2.8183829313E+02, 4.1612049287E-01, 4.5063700687E-02
-2.7542287033E+02, 4.1725184985E-01, 4.6866454208E-02
-2.6915348039E+02, 4.1837898937E-01, 4.8736580995E-02
-2.6302679919E+02, 4.1950178305E-01, 5.0676368652E-02
-2.5703957828E+02, 4.2062010250E-01, 5.2688171695E-02
-2.5118864315E+02, 4.2173381934E-01, 5.4774413015E-02
-2.4547089157E+02, 4.2284280519E-01, 5.6937585359E-02
-2.3988329190E+02, 4.2394693164E-01, 5.9180252814E-02
-2.3442288153E+02, 4.2504607033E-01, 6.1505052304E-02
-2.2908676528E+02, 4.2614009286E-01, 6.3914695089E-02
-2.2387211386E+02, 4.2722887085E-01, 6.6411968269E-02
-2.1877616239E+02, 4.2831227592E-01, 6.8999736296E-02
-2.1379620895E+02, 4.2939017967E-01, 7.1680942482E-02
-2.0892961309E+02, 4.3046245371E-01, 7.4458610515E-02
-2.0417379447E+02, 4.3152896968E-01, 7.7335845965E-02
-1.9952623150E+02, 4.3258959917E-01, 8.0315837794E-02
-1.9498445998E+02, 4.3364421381E-01, 8.3401859859E-02
-1.9054607180E+02, 4.3469268520E-01, 8.6597272410E-02
-1.8620871367E+02, 4.3573488497E-01, 8.9905523574E-02
-1.8197008586E+02, 4.3677068472E-01, 9.3330150838E-02
-1.7782794100E+02, 4.3779995606E-01, 9.6874782511E-02
-1.7378008287E+02, 4.3882257063E-01, 1.0054313917E-01
